MMS ID,Error
991011597386604641,Record not returned in batch API call
991011597386804641,Record not returned in batch API call
991011597386904641,Record not returned in batch API call
991011597387104641,Record not returned in batch API call
991011597387204641,Record not returned in batch API call
991011597387404641,Record not returned in batch API call
991011597392504641,Record not returned in batch API call
991011597392704641,Record not returned in batch API call
991011597393304641,Record not returned in batch API call
991011597393604641,Record not returned in batch API call
991011597394104641,Record not returned in batch API call
991011597394304641,Record not returned in batch API call
991011597394404641,Record not returned in batch API call
991011597394804641,Record not returned in batch API call
991011606173304641,Record not returned in batch API call
991011606173404641,Record not returned in batch API call
991011606173604641,Record not returned in batch API call
991011606173704641,Record not returned in batch API call
991011606174604641,Record not returned in batch API call
991011606175304641,Record not returned in batch API call
991011606178704641,Record not returned in batch API call
991011606179004641,Record not returned in batch API call
991011606179404641,Record not returned in batch API call
991011606181904641,Record not returned in batch API call
991011606182204641,Record not returned in batch API call
991011606182504641,Record not returned in batch API call
991011606184204641,Record not returned in batch API call
991011606184704641,Record not returned in batch API call
991011606298704641,Record not returned in batch API call
991011606298804641,Record not returned in batch API call
991011606299004641,Record not returned in batch API call
991011606299304641,Record not returned in batch API call
991011606299604641,Record not returned in batch API call
991011606299804641,Record not returned in batch API call
991011606300204641,Record not returned in batch API call
991011606300404641,Record not returned in batch API call
991011606300604641,Record not returned in batch API call
991011606300804641,Record not returned in batch API call
991011606301004641,Record not returned in batch API call
991011606301204641,Record not returned in batch API call
991011606301404641,Record not returned in batch API call
991011606301604641,Record not returned in batch API call
991011606301804641,Record not returned in batch API call
991011606302004641,Record not returned in batch API call
991011606302204641,Record not returned in batch API call
991011606302504641,Record not returned in batch API call
# The 100 records obliterated by the March 5 process follow.,Record not returned in batch API call
# 991011532687104641,Record not returned in batch API call
